pcut_position,psvol_position,label
-881018,16105,1
-881013,16111,1
-881008,16116,1
-881002,16122,1
-880997,16127,1
-880992,16133,1
-880987,16139,1
-880982,16144,1
-880977,16150,1
-880972,16155,1
-880967,16161,1
-880962,16166,1
-880957,16172,1
-880953,16177,1
-880948,16183,1
-880943,16188,1
-880939,16194,1
-880934,16199,1
-880929,16205,1
-880925,16210,1
-880920,16216,1
-880916,16222,1
-880912,16227,1
-880907,16233,1
-880903,16238,1
-880899,16244,1
-880895,16249,1
-880890,16255,1
-880886,16260,1
-880882,16266,1
-880878,16271,1
-880874,16277,1
-880870,16282,1
-880867,16288,1
-880863,16294,1
-880859,16299,1
-880855,16305,1
-880851,16310,1
-880848,16316,1
-880844,16321,1
-880841,16327,1
-880837,16332,1
-880834,16338,1
-880830,16343,1
-880827,16349,1
-880823,16355,1
-880820,16360,1
-880817,16365,1
-880814,16371,1
-880811,16377,1
-880807,16382,1
-880804,16388,1
-880801,16393,1
-880798,16399,1
-880795,16404,1
-880793,16410,1
-880790,16415,1
-880787,16421,1
-880784,16427,1
-880781,16432,1
-880779,16438,1
-880776,16443,1
-880774,16449,1
-880771,16454,1
-880769,16460,1
-880766,16465,1
-880764,16471,1
-880761,16476,1
-880759,16482,1
-880757,16488,1
-880755,16493,1
-880752,16498,1
-880750,16504,1
-880748,16510,1
-880746,16515,1
-880744,16521,1
-880742,16526,1
-880740,16532,1
-880738,16537,1
-880736,16543,1
-880735,16548,1
-880733,16554,1
-880731,16560,1
-880730,16565,1
-880728,16571,1
-880726,16576,1
-880725,16582,1
-880723,16587,1
-880722,16593,1
-880721,16598,1
-880719,16604,1
-880718,16609,1
-880717,16615,1
-880715,16621,1
-880714,16626,1
-880713,16632,1
-880712,16637,1
-880711,16643,1
-880710,16648,1
-880709,16654,1
-880708,16659,1
-880707,16665,1
-880706,16670,1
-880705,16676,1
-880705,16681,1
-880704,16687,1
-880703,16692,1
-880703,16698,1
-880702,16704,1
-880701,16709,1
-880701,16715,1
-880700,16720,1
-880700,16726,1
-880699,16731,1
-880699,16737,1
-880699,16742,1
-880698,16748,1
-880698,16753,1
-880698,16759,1
-880698,16764,1
-880698,16770,1
-880698,16775,1
-880698,16781,1
-880698,16787,1
-880698,16792,1
-880698,16798,1
-880698,16803,1
-880698,16809,1
-880698,16814,1
-880698,16820,1
-880698,16825,1
-880699,16831,1
-880699,16837,1
-880699,16842,1
-880700,16848,1
-880700,16853,1
-880701,16859,1
-880701,16864,1
-880702,16870,1
-880702,16875,1
-880703,16881,1
-880703,16886,1
-880704,16892,1
-880705,16897,1
-880706,16903,1
-880706,16908,1
-880707,16914,1
-880708,16920,1
-880709,16925,1
-880710,16931,1
-880711,16936,1
-880712,16942,1
-880713,16947,1
-880714,16953,1
-880715,16958,1
-880716,16964,1
-880717,16969,1
-880718,16975,1
-880719,16981,1
-880721,16986,1
-880722,16992,1
-880723,16997,1
-880724,17003,1
-880726,17008,1
-880727,17014,1
-880728,17019,1
-880730,17025,1
-880731,17030,1
-880733,17036,1
-880734,17041,1
-880736,17047,1
-880737,17053,1
-880739,17058,1
-880741,17064,1
-880742,17069,1
-880744,17075,1
-880746,17080,1
-880747,17086,1
-880749,17091,1
-880751,17097,1
-880753,17103,1
-880755,17108,1
-880757,17114,1
-880759,17120,1
-880761,17125,1
-880763,17131,1
-880765,17136,1
-880767,17142,1
-880769,17148,1
-880771,17154,1
-880773,17159,1
-880775,17165,1
-880777,17171,1
-880780,17177,1
-880782,17183,1
-880784,17188,1
-880786,17194,1
-880789,17200,1
-880791,17206,1
-880794,17212,1
-880796,17218,1
-880799,17224,1
-880801,17230,1
-880804,17236,1
-880806,17242,1
-880809,17248,1
-880812,17254,1
-880814,17261,1
-880817,17267,1
-880820,17273,1
-880823,17279,1
-880826,17286,1
-880828,17292,1
-880831,17298,1
-880834,17305,1
-880837,17311,1
-880840,17318,1
-880843,17324,1
-880846,17331,1
-880849,17338,1
-880853,17344,1
-880856,17351,1
-880859,17357,1
-880862,17364,1
-880865,17371,1
-880869,17378,1
-880872,17385,1
-880875,17391,1
-880879,17398,1
-880882,17405,1
-880886,17412,1
-880889,17419,1
-880893,17426,1
-880896,17433,1
-880900,17441,1
-880903,17448,1
-880907,17455,1
-880910,17462,1
-880914,17469,1
-880918,17477,1
-880921,17484,1
-880925,17491,1
-880929,17499,1
-880932,17506,1
-880936,17513,1
-880940,17521,1
-880943,17528,1
-880947,17536,1
-880951,17543,1
-880955,17551,1
-880958,17559,1
-880962,17566,1
-880966,17574,1
-880970,17582,1
-880974,17589,1
-880977,17597,1
-880981,17605,1
-880985,17613,1
-880989,17621,1
-880992,17628,1
-880996,17636,1
-881000,17644,1
-881003,17652,1
-881007,17660,1
-881011,17668,1
-881014,17676,1
-881018,17684,1
-881021,17692,1
-881025,17700,1
-881029,17708,1
-881032,17716,1
-881036,17724,1
-881039,17733,1
-881042,17741,1
-881046,17749,1
-881049,17757,1
-881052,17765,1
-881056,17773,1
-881059,17781,1
-881062,17789,1
-881065,17798,1
-881068,17806,1
-881071,17814,1
-881074,17822,1
-881077,17830,1
-881080,17838,1
-881083,17846,1
-881086,17854,1
-881089,17863,1
-881091,17871,1
-881094,17879,1
-881097,17887,1
-881099,17895,1
-881102,17903,1
-881104,17911,1
-881106,17919,1
-881109,17927,1
-881111,17935,1
-881113,17944,1
-881115,17952,1
-881117,17960,1
-881119,17968,1
-881121,17976,1
-881123,17984,1
-881125,17992,1
-881127,18000,1
-881129,18008,1
-881130,18017,1
-881132,18025,1
-881133,18033,1
-881135,18041,1
-881136,18049,1
-881137,18057,1
-881138,18065,1
-881140,18073,1
-881141,18081,1
-881142,18089,1
-881143,18097,1
-881143,18106,1
-881144,18114,1
-881145,18122,1
-881145,18130,1
-881146,18138,1
-881146,18146,1
-881147,18154,1
-881147,18162,1
-881147,18171,1
-881147,18179,1
-881147,18187,1
-881147,18195,1
-881147,18203,1
-881147,18211,1
-881147,18219,1
-881147,18227,1
-881146,18235,1
-881146,18244,1
-881145,18252,1
-881144,18260,1
-881144,18268,1
-881143,18276,1
-881142,18284,1
-881141,18292,1
-881140,18300,1
-881138,18308,1
-881137,18316,1
-881136,18324,1
-881134,18332,1
-881133,18341,1
-881131,18349,1
-881129,18357,1
-881127,18365,1
-881125,18373,1
-881123,18381,1
-881121,18389,1
